Taxid,Taxname,Species,Size(Kb),num_unique_interactions,num_publications
10588,human papillomavirus 39,Alphapapillomavirus 7,7.856999999999999,110,2
31552,Human papillomavirus type 6,Alphapapillomavirus 10,7.9542,39,1
11624,Lymphocytic choriomeningitis virus (strain Armstrong),Lymphocytic choriomeningitis mammarenavirus,10.33,233,1
11285,Vesicular stomatitis Indiana virus strain San Juan,Indiana vesiculovirus,11.083,2,1
645098,Measles virus strain Ichinose-B95a,Measles morbillivirus,15.893999999999998,1,1
1980519,Crimean-Congo hemorrhagic fever orthonairovirus,Crimean-Congo hemorrhagic fever orthonairovirus,19.146,1,1
643212,Influenza A virus (A/Netherlands/602/2009(H1N1)),Influenza A virus,13.210598540145998,3,1
388812,HIV-1 M:C_92BR025,Human immunodeficiency virus 1,8.959712328767123,7,2
10527,Human adenovirus D9,Human mastadenovirus D,35.07171428571428,1,1
11908,Human T-cell leukemia virus type I,Primate T-lymphotropic virus 1,9.027999999999999,12,3
10407,Hepatitis B virus,Hepatitis B virus,3.2136666666666667,8,4
10593,human papillomavirus 45,Alphapapillomavirus 7,7.856999999999999,1,1
10529,Human adenovirus 31,Human mastadenovirus A,33.81999999999999,1,1
10598,human papillomavirus 58,Alphapapillomavirus 9,7.9542,1,1
435895,Human herpesvirus 8 type M,Human gammaherpesvirus 8,137.969,2,1
11685,HIV-1 M:B_ARV2/SF2,Human immunodeficiency virus 1,8.959712328767123,4,1
290579,HIV-1 M:B_Lai,Human immunodeficiency virus 1,8.959712328767123,4,1
11689,Human immunodeficiency virus type 1 (ELI ISOLATE),Human immunodeficiency virus 1,8.959712328767123,3,1
31767,Hepatitis E virus (strain Burma),Orthohepevirus A,7.0955,2,1
31768,Hepatitis E virus (strain Mexico),Orthohepevirus A,7.0955,1,1
10306,Human alphaherpesvirus 1 strain KOS,Human alphaherpesvirus 1,151.15183333333334,1,1
11707,Human immunodeficiency virus type 1 (HXB3 ISOLATE),Human immunodeficiency virus 1,8.959712328767123,2,1
82830,Epstein-barr virus strain ag876,Human gammaherpesvirus 4,171.72820000000002,1,1
11045,Rubella virus strain Therien,Rubivirus rubellae,9.762,1,1
10304,Human alphaherpesvirus 1 strain F,Human alphaherpesvirus 1,151.15183333333334,1,1
128952,"Ebola virus - Mayinga, Zaire, 1976",Zaire ebolavirus,18.923000000000002,6,3
11927,Human T-cell lymphotrophic virus type 1 (Caribbean isolate),Primate T-lymphotropic virus 1,9.027999999999999,70,1
11909,Human T-lymphotropic virus 2,Primate T-lymphotropic virus 2,8.005176470588234,60,1
928302,Hepatitis B virus C/ayr human/Japan/Okamoto,Hepatitis B virus,3.2136666666666667,1,1
992212,SFTS virus HB29,Dabie bandavirus,6.843,3,1
11250,Human orthopneumovirus,Human orthopneumovirus,15.223500000000001,1,1
211787,Human papillomavirus type 92,Betapapillomavirus 4,7.4405,1,1
10617,Human papillomavirus 4,Gammapapillomavirus 1,6.153271739130437,1,1
37958,Human papillomavirus 37,Betapapillomavirus 2,7.3858,1,1
247268,Human papillomavirus 93,Betapapillomavirus 1,7.533333333333334,1,1
247269,Human papillomavirus type 96,Betapapillomavirus 5,7.415,1,1
37959,Human papillomavirus 38,Betapapillomavirus 2,7.3858,1,1
31547,human papillomavirus 20,Betapapillomavirus 1,7.533333333333334,1,1
31645,Hepatitis C virus (isolate Taiwan),Hepacivirus C,9.432273809523808,4,3
421877,Hepatitis C virus isolate HC-J1,Hepacivirus C,9.432273809523808,13,8
11108,Hepatitis C virus (isolate H),Hepacivirus C,9.432273809523808,1,1
329389,Hepatitis C virus (isolate Glasgow),Hepacivirus C,9.432273809523808,1,1
31635,Dengue virus 2 16681-PDK53,Dengue virus,10.693166666666665,106,1
648242,Adeno-associated virus 2 Srivastava/1982,Adeno-associated dependoparvovirus A,4.575764705882353,1,1
10360,Human herpesvirus 5 strain AD169,Human betaherpesvirus 5,234.51149999999998,3,1
11113,Hepatitis C virus isolate HC-J6,Hepacivirus C,9.432273809523808,1,1
1173018,Phlebovirus WCH/97/HN/China/2011,Phlebovirus WCH/97/HN/China/2011,10.681000000000001,2,1
