Protein A,Protein B,Method,Publication,Taxid A,Taxid B,Interaction type,Source DB,Interaction identifier,Confidence,Protein A DB,Protein B DB,Taxname A,Taxname B
Q9BYF1,P59594,"psi-mi:""MI:0071""(molecular sieving)",pubmed:30102747|imex:IM-27813,9606,694009,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25474688|imex:IM-27813-1,intact-miscore:0.99,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9BYF1,P59594-PRO_0000037209,"psi-mi:""MI:0071""(molecular sieving)",pubmed:30102747|imex:IM-27813,9606,694009,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25475243|imex:IM-27813-11,intact-miscore:0.71,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9BYF1,P59594,"psi-mi:""MI:0040""(electron microscopy)",pubmed:30102747|imex:IM-27813,9606,694009,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25474796|emdb:EMD-9591|emdb:EMD-9593|emdb:EMD-9594|pdbe:6ACG|pdbe:6ACJ|pdbe:6ACK|emdb:EMD-9585|emdb:EMD-9586|emdb:EMD-9587|imex:IM-27813-3,intact-miscore:0.99,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9BYF1,P59594-PRO_0000037210,"psi-mi:""MI:0040""(electron microscopy)",pubmed:30102747|imex:IM-27813,9606,694009,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25474864|emdb:EMD-9598|imex:IM-27813-7,intact-miscore:0.36,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
P11021,K0BRG7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29887526|imex:IM-27822,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25488378|imex:IM-27822-1,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P11021,K0BRG7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29887526|imex:IM-27822,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25488401|imex:IM-27822-3,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P11021,K0BRG7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29887526|imex:IM-27822,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25488414|imex:IM-27822-5,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P11021,A3EXG6-PRO_0000291369,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29887526|imex:IM-27822,9606,694006,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25489711|imex:IM-27822-19,intact-miscore:0.40,uniprotkb,uniprotkb,Rousettus bat coronavirus HKU9,Rousettus bat coronavirus HKU9
P11021,K0BRG7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29887526|imex:IM-27822,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25488435|imex:IM-27822-7,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P11021,K0BRG7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:29887526|imex:IM-27822,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25488458|imex:IM-27822-9,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P11021,K0BRG7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:29887526|imex:IM-27822,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25489575|imex:IM-27822-11,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P11021,K0BRG7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:29887526|imex:IM-27822,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25489601|imex:IM-27822-13,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P11021,K0BRG7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:29887526|imex:IM-27822,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25489618|imex:IM-27822-15,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
O75347,P0DTC1-PRO_0000449645,"psi-mi:""MI:0096""(pull down)",doi:10.1038/s41586-020-2286-9|pubmed:32353859|imex:IM-27814,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25490682|imex:IM-27814-5,intact-miscore:0.59,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q92769,P0DTD1-PRO_0000449623,"psi-mi:""MI:0096""(pull down)",doi:10.1038/s41586-020-2286-9|pubmed:32353859|imex:IM-27814,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25490970|imex:IM-27814-13,intact-miscore:0.59,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9UJZ1,EBI-25475912,"psi-mi:""MI:0096""(pull down)",doi:10.1038/s41586-020-2286-9|pubmed:32353859|imex:IM-27814,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25491308|imex:IM-27814-49,intact-miscore:0.59,uniprotkb,intact,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P06731-1,K0BRG7,"psi-mi:""MI:0096""(pull down)",pubmed:27489282|imex:IM-27828,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25475529|imex:IM-27828-1,intact-miscore:0.40,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P06731,K0BRG7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:27489282|imex:IM-27828,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25475613|imex:IM-27828-3,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P06731,K0BRG7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:27489282|imex:IM-27828,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25475653|imex:IM-27828-7,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
P06731,K0BRG7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:27489282|imex:IM-27828,9606,1235996,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25475663|imex:IM-27828-9,intact-miscore:0.52,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
EBI-26452941,P0DTD1-PRO_0000449619,"psi-mi:""MI:0029""(cosedimentation through density gradient)",imex:IM-28345|pubmed:32908316,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25829238|imex:IM-28345-3,intact-miscore:0.85,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P17931,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26296600|imex:IM-28351-21,intact-miscore:0.44,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P47929,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26300162|imex:IM-28351-1,intact-miscore:0.44,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O00214,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26301026|imex:IM-28351-3,intact-miscore:0.44,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9NNX6,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26301056|imex:IM-28351-5,intact-miscore:0.89,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q8IUN9,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26301121|imex:IM-28351-7,intact-miscore:0.62,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q96LC7,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26302005|imex:IM-28351-9,intact-miscore:0.62,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P17931,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26302834|imex:IM-28351-11,intact-miscore:0.44,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O00214,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26302975|imex:IM-28351-15,intact-miscore:0.44,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P47929,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26302998|imex:IM-28351-25,intact-miscore:0.44,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9NNX6,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26303017|imex:IM-28351-17,intact-miscore:0.89,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q8IUN9,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26303034|imex:IM-28351-27,intact-miscore:0.62,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q8IUN9,P0DTC2,"psi-mi:""MI:1103""(solution state nmr)",pubmed:32915505|imex:IM-28351,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26303058|imex:IM-28351-19,intact-miscore:0.62,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0096""(pull down)",pubmed:32917722|imex:IM-28360,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26355600|imex:IM-28360-11,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0096""(pull down)",pubmed:32917722|imex:IM-28360,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26355614|imex:IM-28360-13,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0096""(pull down)",pubmed:32917722|imex:IM-28360,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26355627|imex:IM-28360-15,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q96LC7,P0DTC2,"psi-mi:""MI:0411""(enzyme linked immunosorbent assay)",pubmed:unassigned2693|imex:IM-28362,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26355744|imex:IM-28362-21,intact-miscore:0.62,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0411""(enzyme linked immunosorbent assay)",imex:IM-28382|pubmed:32753755,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0465""(DIP)",intact:EBI-26359732|imex:IM-28382-5,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q12933,J9TC74,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:31034780|imex:IM-28201,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25760779|imex:IM-28201-1,intact-miscore:0.40,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9Y572,J9TC74,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:30185776|imex:IM-28204,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25761520|imex:IM-28204-1,intact-miscore:0.46,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9Y572,J9TC74,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:30185776|imex:IM-28204,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25761628|imex:IM-28204-3,intact-miscore:0.46,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
EBI-25765101,P0DTD1-PRO_0000449619,"psi-mi:""MI:0410""(3D electron microscopy)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25765006|imex:IM-28299-1|emdb:EMD-11276,intact-miscore:0.32,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-25765101,P0DTD1-PRO_0000449619,"psi-mi:""MI:0410""(3D electron microscopy)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25765553|wwpdb:6zn5|emdb:EMD-11310|imex:IM-28299-3,intact-miscore:0.32,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-25765101,P0DTD1-PRO_0000449619,"psi-mi:""MI:0410""(3D electron microscopy)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25765694|wwpdb:6zon|emdb:EMD-11325|imex:IM-28299-5,intact-miscore:0.32,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-25765101,P0DTD1-PRO_0000449619,"psi-mi:""MI:0410""(3D electron microscopy)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25765746|wwpdb:6zp4|emdb:EMD-11335|imex:IM-28299-7,intact-miscore:0.32,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-25765101,P0DTD1-PRO_0000449619,"psi-mi:""MI:0410""(3D electron microscopy)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25818041|emdb:EMD-11289|imex:IM-28299-11|wwpdb:6zme,intact-miscore:0.32,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-25765101,P0DTD1-PRO_0000449619,"psi-mi:""MI:0410""(3D electron microscopy)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25818164|emdb:EMD-11288|imex:IM-28299-13|wwpdb:6zm7,intact-miscore:0.32,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-25765101,P0DTD1-PRO_0000449619,"psi-mi:""MI:0410""(3D electron microscopy)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25818257|emdb:EMD-11299|imex:IM-28299-15|wwpdb:6zmo,intact-miscore:0.32,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-25765101,P0DTD1-PRO_0000449619,"psi-mi:""MI:0410""(3D electron microscopy)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25818660|wwpdb:6zmi|emdb:EMD-11292|imex:IM-28299-17,intact-miscore:0.32,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-25765101,P0DTD1-PRO_0000449619,"psi-mi:""MI:0410""(3D electron microscopy)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25818756|wwpdb:6zmt|emdb:EMD-11301|imex:IM-28299-19,intact-miscore:0.32,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-26452941,P0DTD1-PRO_0000449619,"psi-mi:""MI:0096""(pull down)",imex:IM-28299|pubmed:32680882,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25823731|imex:IM-28299-20,intact-miscore:0.85,intact,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-26452941,P0C6X7-PRO_0000037309,"psi-mi:""MI:0096""(pull down)",imex:IM-28299|pubmed:32680882,9606,694009,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25823741|imex:IM-28299-22,intact-miscore:0.44,intact,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9BYF1,P0DTC2,"psi-mi:""MI:0107""(surface plasmon resonance)",pubmed:32703906|imex:IM-28214,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25763789|imex:IM-28214-3,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0107""(surface plasmon resonance)",pubmed:32703906|imex:IM-28214,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25763818|imex:IM-28214-5,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0107""(surface plasmon resonance)",imex:IM-28256|pubmed:32694201,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25775672|imex:IM-28256-3,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0107""(surface plasmon resonance)",imex:IM-28256|pubmed:32694201,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25775687|imex:IM-28256-5,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0107""(surface plasmon resonance)",imex:IM-28256|pubmed:32694201,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25775700|imex:IM-28256-7,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0107""(surface plasmon resonance)",imex:IM-28256|pubmed:32694201,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25775712|imex:IM-28256-9,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
P07711,P59594,"psi-mi:""MI:0435""(protease assay)",imex:IM-28224|pubmed:32512386,9606,694009,"psi-mi:""MI:0570""(protein cleavage)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25764430|imex:IM-28224-3,intact-miscore:0.62,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
P09958,P0DTC2,"psi-mi:""MI:0435""(protease assay)",imex:IM-28224|pubmed:32512386,9606,2697049,"psi-mi:""MI:0570""(protein cleavage)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25764452|imex:IM-28224-5,intact-miscore:0.85,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
