Protein A,Protein B,Method,Publication,Taxid A,Taxid B,Interaction type,Source DB,Interaction identifier,Confidence,Protein A DB,Protein B DB,Taxname A,Taxname B
P60033,P13688-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9NUP9,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,O15440-5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,A0A2R8YHG5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,H0Y512,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P07307,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q08554-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P08034,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q14542-3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,E7EN73,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q6EMK4,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,F8VNQ3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P20020-6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,A0A0C4DGE4,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P62745,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.53,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,K7EPJ5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,E9PHY5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q8NBQ5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9Y289,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,O00186,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P78310-7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q13433,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P05023-4,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,O95864,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P48066,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9ULF5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q15392-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,A0A1W2PR06,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9NZ53,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q15836,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q8NC42,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P00387-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9UHE8,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,F8WF27,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q99541,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,E7ESP4,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P42677,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,M0QXM4,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q99624,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q12864,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q92692,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q8N6C5-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P18084,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P78536-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q12846,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P53985,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,O43570-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9C0B5-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,D6RIU2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,H0YD13,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9Y4D7-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,A0A087WTM1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P05026-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9NPH3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q86VY9,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,A0A1W2PPU6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P50995-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q14118,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9NZW5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P78504,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9H0X4,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q8IWA5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9NV96-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,O14828-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9NQS3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q7Z5G4-3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P35613-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P27105,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q5BJF2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,O60664-4,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P50148,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,O60669,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P15144,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.53,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
