yourlist:M202205025BF3C56A578D7D6DFD1FC81EE5DA77304BFA55N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q5VSY0-2	Q5VSY0	GKAP1_HUMAN	reviewed	G kinase-anchoring protein 1 (cGMP-dependent protein kinase-anchoring protein of 42 kDa)	GKAP1 GKAP42 FKSG21	Homo sapiens (Human)	366
K7ERU7	K7ERU7	K7ERU7_HUMAN	unreviewed	Telomerase RNA component-interacting RNase	TRIR	Homo sapiens (Human)	133
E9PKU4	E9PKU4	E9PKU4_HUMAN	unreviewed	60S ribosomal protein L8 (Fragment)	RPL8	Homo sapiens (Human)	235
Q9Y3D6	Q9Y3D6	FIS1_HUMAN	reviewed	Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	FIS1 TTC11 CGI-135	Homo sapiens (Human)	152
P40429	P40429	RL13A_HUMAN	reviewed	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	RPL13A	Homo sapiens (Human)	203
Q08999	Q08999	RBL2_HUMAN	reviewed	Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein) (p130) (Retinoblastoma-related protein 2) (RBR-2) (pRb2)	RBL2 RB2	Homo sapiens (Human)	1139
P22001	P22001	KCNA3_HUMAN	reviewed	Potassium voltage-gated channel subfamily A member 3 (HGK5) (HLK3) (HPCN3) (Voltage-gated K(+) channel HuKIII) (Voltage-gated potassium channel subunit Kv1.3)	KCNA3 HGK5	Homo sapiens (Human)	575
L0B3N3	L0B3N3	L0B3N3_HUMAN	unreviewed	RE1-silencing transcription factor variant E1a/E2a/E2k (RE1-silencing transcription factor variant E1b/E2a/E2k) (RE1-silencing transcription factor variant E1c/E2a/E2k)	REST	Homo sapiens (Human)	313
P08631	P08631	HCK_HUMAN	reviewed	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526
A0A024QZ21	A0A024QZ21	A0A024QZ21_HUMAN	unreviewed	HCG1998851, isoform CRA_b	hCG_1998851	Homo sapiens (Human)	286
Q6P161	Q6P161	RM54_HUMAN	reviewed	39S ribosomal protein L54, mitochondrial (L54mt) (MRP-L54) (Mitochondrial large ribosomal subunit protein mL54)	MRPL54	Homo sapiens (Human)	138
O95644	O95644	NFAC1_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)	NFATC1 NFAT2 NFATC	Homo sapiens (Human)	943
P11532	P11532	DMD_HUMAN	reviewed	Dystrophin	DMD	Homo sapiens (Human)	3685
Q08174	Q08174	PCDH1_HUMAN	reviewed	Protocadherin-1 (Cadherin-like protein 1) (Protocadherin-42) (PC42)	PCDH1	Homo sapiens (Human)	1060
H0Y5F5	H0Y5F5	H0Y5F5_HUMAN	unreviewed	Polyadenylate-binding protein (PABP) (Fragment)	PABPC4	Homo sapiens (Human)	550
Q8WV41	Q8WV41	SNX33_HUMAN	reviewed	Sorting nexin-33 (SH3 and PX domain-containing protein 3)	SNX33 SH3PX3 SH3PXD3C SNX30	Homo sapiens (Human)	574
Q8N2G8	Q8N2G8	GHDC_HUMAN	reviewed	GH3 domain-containing protein	GHDC D11LGP1E LGP1	Homo sapiens (Human)	530
P35052	P35052	GPC1_HUMAN	reviewed	Glypican-1 [Cleaved into: Secreted glypican-1]	GPC1	Homo sapiens (Human)	558
Q9H9H4	Q9H9H4	VP37B_HUMAN	reviewed	Vacuolar protein sorting-associated protein 37B (hVps37B) (ESCRT-I complex subunit VPS37B)	VPS37B	Homo sapiens (Human)	285
A0A0B4J1Y9	A0A0B4J1Y9	HV372_HUMAN	reviewed	Immunoglobulin heavy variable 3-72	IGHV3-72	Homo sapiens (Human)	119
Q9BTU6	Q9BTU6	P4K2A_HUMAN	reviewed	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	PI4K2A	Homo sapiens (Human)	479
P31274	P31274	HXC9_HUMAN	reviewed	Homeobox protein Hox-C9 (Homeobox protein Hox-3B)	HOXC9 HOX3B	Homo sapiens (Human)	260
Q15650	Q15650	TRIP4_HUMAN	reviewed	Activating signal cointegrator 1 (ASC-1) (Thyroid receptor-interacting protein 4) (TR-interacting protein 4) (TRIP-4)	TRIP4 RQT4	Homo sapiens (Human)	581
E9PI79	E9PI79	E9PI79_HUMAN	unreviewed	Liprin-beta-2 (Fragment)	PPFIBP2	Homo sapiens (Human)	181
O15068	O15068	MCF2L_HUMAN	reviewed	Guanine nucleotide exchange factor DBS (DBL's big sister) (MCF2-transforming sequence-like protein)	MCF2L KIAA0362 OST	Homo sapiens (Human)	1137
Q8TBB5	Q8TBB5	KLDC4_HUMAN	reviewed	Kelch domain-containing protein 4	KLHDC4	Homo sapiens (Human)	520
Q15326	Q15326	ZMY11_HUMAN	reviewed	Zinc finger MYND domain-containing protein 11 (Adenovirus 5 E1A-binding protein) (Bone morphogenetic protein receptor-associated molecule 1) (Protein BS69)	ZMYND11 BRAM1 BS69	Homo sapiens (Human)	602
P48454	P48454	PP2BC_HUMAN	reviewed	Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calcineurin, testis-specific catalytic subunit) (Calmodulin-dependent calcineurin A subunit gamma isoform)	PPP3CC CALNA3 CNA3	Homo sapiens (Human)	512
O00462	O00462	MANBA_HUMAN	reviewed	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	MANBA MANB1	Homo sapiens (Human)	879
Q96PT4	Q96PT4	DUX3_HUMAN	reviewed	Putative double homeobox protein 3	DUX3	Homo sapiens (Human)	197
A1L020	A1L020	MEX3A_HUMAN	reviewed	RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4)	MEX3A RKHD4	Homo sapiens (Human)	520
Q9NY93	Q9NY93	DDX56_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)	DDX56 DDX21 NOH61	Homo sapiens (Human)	547
Q9Y3C5	Q9Y3C5	RNF11_HUMAN	reviewed	RING finger protein 11	RNF11 CGI-123	Homo sapiens (Human)	154
Q86UE4	Q86UE4	LYRIC_HUMAN	reviewed	Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)	MTDH AEG1 LYRIC	Homo sapiens (Human)	582
P50895	P50895	BCAM_HUMAN	reviewed	Basal cell adhesion molecule (Auberger B antigen) (B-CAM cell surface glycoprotein) (F8/G253 antigen) (Lutheran antigen) (Lutheran blood group glycoprotein) (CD antigen CD239)	BCAM LU MSK19	Homo sapiens (Human)	628
Q13049	Q13049	TRI32_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM32 (EC 2.3.2.27) (72 kDa Tat-interacting protein) (RING-type E3 ubiquitin transferase TRIM32) (Tripartite motif-containing protein 32) (Zinc finger protein HT2A)	TRIM32 HT2A	Homo sapiens (Human)	653
Q9UGN5	Q9UGN5	PARP2_HUMAN	reviewed	Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-)	PARP2 ADPRT2 ADPRTL2	Homo sapiens (Human)	583
Q9Y2X7	Q9Y2X7	GIT1_HUMAN	reviewed	ARF GTPase-activating protein GIT1 (ARF GAP GIT1) (Cool-associated and tyrosine-phosphorylated protein 1) (CAT-1) (CAT1) (G protein-coupled receptor kinase-interactor 1) (GRK-interacting protein 1) (p95-APP1)	GIT1	Homo sapiens (Human)	761
Q99595	Q99595	TI17A_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim17-A (Inner membrane preprotein translocase Tim17a)	TIMM17A MIMT17 TIM17 TIM17A TIMM17	Homo sapiens (Human)	171
E9PKP7	E9PKP7	E9PKP7_HUMAN	unreviewed	Nucleolar transcription factor 1	UBTF	Homo sapiens (Human)	745
P54725	P54725	RD23A_HUMAN	reviewed	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363
Q5HYI8	Q5HYI8	RABL3_HUMAN	reviewed	Rab-like protein 3	RABL3	Homo sapiens (Human)	236
A0A087WYJ7	A0A087WYJ7	A0A087WYJ7_HUMAN	unreviewed	Protein bicaudal D homolog 1 (Fragment)	BICD1	Homo sapiens (Human)	173
Q9NX58	Q9NX58	LYAR_HUMAN	reviewed	Cell growth-regulating nucleolar protein	LYAR PNAS-5	Homo sapiens (Human)	379
O60522	O60522	TDRD6_HUMAN	reviewed	Tudor domain-containing protein 6 (Antigen NY-CO-45) (Cancer/testis antigen 41.2) (CT41.2)	TDRD6	Homo sapiens (Human)	2096
Q9H1K1	Q9H1K1	ISCU_HUMAN	reviewed	Iron-sulfur cluster assembly enzyme ISCU, mitochondrial (NifU-like N-terminal domain-containing protein) (NifU-like protein)	ISCU NIFUN	Homo sapiens (Human)	167
P42766	P42766	RL35_HUMAN	reviewed	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	RPL35	Homo sapiens (Human)	123
H7C1A3	H7C1A3	H7C1A3_HUMAN	unreviewed	Fibulin-2 (Fragment)	FBLN2	Homo sapiens (Human)	101
P54259	P54259	ATN1_HUMAN	reviewed	Atrophin-1 (Dentatorubral-pallidoluysian atrophy protein)	ATN1 D12S755E DRPLA	Homo sapiens (Human)	1190
P20160	P20160	CAP7_HUMAN	reviewed	Azurocidin (Cationic antimicrobial protein CAP37) (Heparin-binding protein) (HBP) (hHBP)	AZU1	Homo sapiens (Human)	251
Q13595	Q13595	TRA2A_HUMAN	reviewed	Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)	TRA2A	Homo sapiens (Human)	282
P51692	P51692	STA5B_HUMAN	reviewed	Signal transducer and activator of transcription 5B	STAT5B	Homo sapiens (Human)	787
P43487	P43487	RANG_HUMAN	reviewed	Ran-specific GTPase-activating protein (Ran-binding protein 1) (RanBP1)	RANBP1	Homo sapiens (Human)	201
Q99797	Q99797	MIPEP_HUMAN	reviewed	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	MIPEP MIP	Homo sapiens (Human)	713
Q9Y6G9	Q9Y6G9	DC1L1_HUMAN	reviewed	Cytoplasmic dynein 1 light intermediate chain 1 (LIC1) (Dynein light chain A) (DLC-A) (Dynein light intermediate chain 1, cytosolic)	DYNC1LI1 DNCLI1	Homo sapiens (Human)	523
Q86X10	Q86X10	RLGPB_HUMAN	reviewed	Ral GTPase-activating protein subunit beta (p170)	RALGAPB KIAA1219	Homo sapiens (Human)	1494
Q9BYG4	Q9BYG4	PAR6G_HUMAN	reviewed	Partitioning defective 6 homolog gamma (PAR-6 gamma) (PAR6D)	PARD6G PAR6G	Homo sapiens (Human)	376
Q8IZ53	Q8IZ53	Q8IZ53_HUMAN	unreviewed	C9orf75 protein (Fragment)	C9orf75	Homo sapiens (Human)	380
P15121	P15121	ALDR_HUMAN	reviewed	Aldo-keto reductase family 1 member B1 (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR) (EC 1.1.1.21)	AKR1B1 ALDR1 ALR2	Homo sapiens (Human)	316
P12259	P12259	FA5_HUMAN	reviewed	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5	Homo sapiens (Human)	2224
Q5H9N4	Q5H9N4	Q5H9N4_HUMAN	unreviewed	Uncharacterized protein DKFZp686L20222	DKFZp686L20222	Homo sapiens (Human)	303
Q8IUR7,Q8IUR7-1	Q8IUR7	ARMC8_HUMAN	reviewed	Armadillo repeat-containing protein 8	ARMC8 S863-2	Homo sapiens (Human)	673
H0Y5C0	H0Y5C0	H0Y5C0_HUMAN	unreviewed	Adhesion G protein-coupled receptor L2 (Fragment)	ADGRL2	Homo sapiens (Human)	1351
Q16082	Q16082	HSPB2_HUMAN	reviewed	Heat shock protein beta-2 (HspB2) (DMPK-binding protein) (MKBP)	HSPB2	Homo sapiens (Human)	182
Q8N5R6	Q8N5R6	CCD33_HUMAN	reviewed	Coiled-coil domain-containing protein 33 (Cancer/testis antigen 61) (CT61)	CCDC33	Homo sapiens (Human)	958
Q9NWT6	Q9NWT6	HIF1N_HUMAN	reviewed	Hypoxia-inducible factor 1-alpha inhibitor (EC 1.14.11.30) (EC 1.14.11.n4) (Factor inhibiting HIF-1) (FIH-1) (Hypoxia-inducible factor asparagine hydroxylase)	HIF1AN FIH1	Homo sapiens (Human)	349
Q14146	Q14146	URB2_HUMAN	reviewed	Unhealthy ribosome biogenesis protein 2 homolog	URB2 KIAA0133	Homo sapiens (Human)	1524
H0YNQ2	H0YNQ2	H0YNQ2_HUMAN	unreviewed	Protein phosphatase 1 regulatory subunit 3E (Fragment)	PPP1R3E	Homo sapiens (Human)	34
Q7Z4I7	Q7Z4I7	LIMS2_HUMAN	reviewed	LIM and senescent cell antigen-like-containing domain protein 2 (LIM-like protein 2) (Particularly interesting new Cys-His protein 2) (PINCH-2)	LIMS2 PINCH2	Homo sapiens (Human)	341
P47872	P47872	SCTR_HUMAN	reviewed	Secretin receptor (SCT-R)	SCTR	Homo sapiens (Human)	440
O00178	O00178	GTPB1_HUMAN	reviewed	GTP-binding protein 1 (G-protein 1) (GP-1) (GP1)	GTPBP1	Homo sapiens (Human)	669
Q13442	Q13442	HAP28_HUMAN	reviewed	28 kDa heat- and acid-stable phosphoprotein (PDGF-associated protein) (PAP) (PDGFA-associated protein 1) (PAP1)	PDAP1 HASPP28	Homo sapiens (Human)	181
Q96KP1	Q96KP1	EXOC2_HUMAN	reviewed	Exocyst complex component 2 (Exocyst complex component Sec5)	EXOC2 SEC5 SEC5L1	Homo sapiens (Human)	924
P26583	P26583	HMGB2_HUMAN	reviewed	High mobility group protein B2 (High mobility group protein 2) (HMG-2)	HMGB2 HMG2	Homo sapiens (Human)	209
O15198	O15198	SMAD9_HUMAN	reviewed	Mothers against decapentaplegic homolog 9 (MAD homolog 9) (Mothers against DPP homolog 9) (Madh6) (SMAD family member 9) (SMAD 9) (Smad9)	SMAD9 MADH6 MADH9 SMAD8	Homo sapiens (Human)	467
Q96JC1	Q96JC1	VPS39_HUMAN	reviewed	Vam6/Vps39-like protein (TRAP1-like protein) (hVam6p)	VPS39 KIAA0770 TLP VAM6	Homo sapiens (Human)	886
Q9BY21	Q9BY21	GPR87_HUMAN	reviewed	G-protein coupled receptor 87 (G-protein coupled receptor 95)	GPR87 GPR95 FKSG78	Homo sapiens (Human)	358
Q9HBJ8	Q9HBJ8	CLTRN_HUMAN	reviewed	Collectrin (Transmembrane protein 27)	CLTRN TMEM27 UNQ679/PRO1312	Homo sapiens (Human)	222
Q9Y5S1	Q9Y5S1	TRPV2_HUMAN	reviewed	Transient receptor potential cation channel subfamily V member 2 (TrpV2) (Osm-9-like TRP channel 2) (OTRPC2) (Vanilloid receptor-like protein 1) (VRL-1)	TRPV2 VRL	Homo sapiens (Human)	764
Q9H2P0	Q9H2P0	ADNP_HUMAN	reviewed	Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein)	ADNP ADNP1 KIAA0784	Homo sapiens (Human)	1102
Q08043	Q08043	ACTN3_HUMAN	reviewed	Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein)	ACTN3	Homo sapiens (Human)	901
Q3LXA3	Q3LXA3	TKFC_HUMAN	reviewed	Triokinase/FMN cyclase (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)) [Includes: ATP-dependent dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase) (Triokinase) (Triose kinase); FAD-AMP lyase (cyclizing) (EC 4.6.1.15) (FAD-AMP lyase (cyclic FMN forming)) (FMN cyclase)]	TKFC DAK	Homo sapiens (Human)	575
Q16630	Q16630	CPSF6_HUMAN	reviewed	Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CPSF 68 kDa subunit) (Cleavage factor Im complex 68 kDa subunit) (CFIm68) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7)	CPSF6 CFIM68	Homo sapiens (Human)	551
Q3LIB4	Q3LIB4	Q3LIB4_HUMAN	unreviewed	5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase (EC 3.6.1.62)	Nbla00360	Homo sapiens (Human)	582
A6NCC3	A6NCC3	GOG8O_HUMAN	reviewed	Golgin subfamily A member 8O	GOLGA8O	Homo sapiens (Human)	632
P33121	P33121	ACSL1_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2) (Phytanate--CoA ligase) (EC 6.2.1.24)	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	Homo sapiens (Human)	698
Q9UMY2	Q9UMY2	Q9UMY2_HUMAN	unreviewed	3-phosphoglycerate dehydrogenase (Fragment)	PGDH3	Homo sapiens (Human)	405
F8WF27	F8WF27	F8WF27_HUMAN	unreviewed	Transmembrane 4 L6 family member 1	TM4SF1	Homo sapiens (Human)	101
V9HVX8	V9HVX8	V9HVX8_HUMAN	unreviewed	Epididymis luminal protein 109	HEL-109	Homo sapiens (Human)	711
A0A0A0MTN7	A0A0A0MTN7	A0A0A0MTN7_HUMAN	unreviewed	Interleukin-12 receptor subunit beta-2	IL12RB2	Homo sapiens (Human)	549
O15226	O15226	NKRF_HUMAN	reviewed	NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4)	NKRF ITBA4 NRF	Homo sapiens (Human)	690
Q8IXS6	Q8IXS6	PALM2_HUMAN	reviewed	Paralemmin-2	PALM2	Homo sapiens (Human)	379
P17987	P17987	TCPA_HUMAN	reviewed	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	TCP1 CCT1 CCTA	Homo sapiens (Human)	556
Q96GC5	Q96GC5	RM48_HUMAN	reviewed	39S ribosomal protein L48, mitochondrial (L48mt) (MRP-L48) (Mitochondrial large ribosomal subunit protein mL48)	MRPL48 CGI-118 HSPC290	Homo sapiens (Human)	212
Q16825	Q16825	PTN21_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 21 (EC 3.1.3.48) (Protein-tyrosine phosphatase D1)	PTPN21 PTPD1	Homo sapiens (Human)	1174
P00367	P00367	DHE3_HUMAN	reviewed	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	GLUD1 GLUD	Homo sapiens (Human)	558
E9PEX6	E9PEX6	E9PEX6_HUMAN	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	DLD	Homo sapiens (Human)	486
Q8NG27	Q8NG27	PJA1_HUMAN	reviewed	E3 ubiquitin-protein ligase Praja-1 (Praja1) (EC 2.3.2.27) (RING finger protein 70) (RING-type E3 ubiquitin transferase Praja-1)	PJA1 RNF70	Homo sapiens (Human)	643
Q92564	Q92564	DCNL4_HUMAN	reviewed	DCN1-like protein 4 (DCNL4) (DCUN1 domain-containing protein 4) (Defective in cullin neddylation protein 1-like protein 4)	DCUN1D4 KIAA0276	Homo sapiens (Human)	292
Q9P2H0	Q9P2H0	CE126_HUMAN	reviewed	Centrosomal protein of 126 kDa	CEP126 KIAA1377	Homo sapiens (Human)	1117
Q7Z2Y6	Q7Z2Y6	Q7Z2Y6_HUMAN	unreviewed	Lactoperoxidase (EC 1.11.1.7) (Fragment)	DKFZp686G24255	Homo sapiens (Human)	95
P36406	P36406	TRI23_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM23 (EC 2.3.2.27) (ADP-ribosylation factor domain-containing protein 1) (GTP-binding protein ARD-1) (RING finger protein 46) (RING-type E3 ubiquitin transferase TRIM23) (Tripartite motif-containing protein 23)	TRIM23 ARD1 ARFD1 RNF46	Homo sapiens (Human)	574
Q96HP0	Q96HP0	DOCK6_HUMAN	reviewed	Dedicator of cytokinesis protein 6	DOCK6 KIAA1395	Homo sapiens (Human)	2047
O15018	O15018	PDZD2_HUMAN	reviewed	PDZ domain-containing protein 2 (Activated in prostate cancer protein) (PDZ domain-containing protein 3) [Cleaved into: Processed PDZ domain-containing protein 2]	PDZD2 AIPC KIAA0300 PDZK3	Homo sapiens (Human)	2839
O95232	O95232	LC7L3_HUMAN	reviewed	Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein) (Luc7A) (Okadaic acid-inducible phosphoprotein OA48-18) (cAMP regulatory element-associated protein 1) (CRE-associated protein 1) (CREAP-1)	LUC7L3 CREAP1 CROP O48	Homo sapiens (Human)	432
F6MZK5	F6MZK5	F6MZK5_HUMAN	unreviewed	Insulin (Fragment)	INS	Homo sapiens (Human)	94
Q03426	Q03426	KIME_HUMAN	reviewed	Mevalonate kinase (MK) (EC 2.7.1.36)	MVK	Homo sapiens (Human)	396
Q9NSV4	Q9NSV4	DIAP3_HUMAN	reviewed	Protein diaphanous homolog 3 (Diaphanous-related formin-3) (DRF3) (MDia2)	DIAPH3 DIAP3	Homo sapiens (Human)	1193
Q5VV42	Q5VV42	CDKAL_HUMAN	reviewed	Threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5) (CDK5 regulatory subunit-associated protein 1-like 1) (tRNA-t(6)A37 methylthiotransferase)	CDKAL1	Homo sapiens (Human)	579
Q8TD43	Q8TD43	TRPM4_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 4 (hTRPM4) (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (Melastatin-4)	TRPM4 LTRPC4	Homo sapiens (Human)	1214
Q8NB46	Q8NB46	ANR52_HUMAN	reviewed	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C (PP6-ARS-C) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-C) (Ankyrin repeat domain-containing protein 52)	ANKRD52	Homo sapiens (Human)	1076
Q9H4Z3	Q9H4Z3	CAPAM_HUMAN	reviewed	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase (EC 2.1.1.62) (Cap-specific adenosine methyltransferase) (CAPAM) (hCAPAM) (Phosphorylated CTD-interacting factor 1) (hPCIF1) (Protein phosphatase 1 regulatory subunit 121)	PCIF1 C20orf67 CAPAM PPP1R121	Homo sapiens (Human)	704
Q8IYS2	Q8IYS2	K2013_HUMAN	reviewed	Uncharacterized protein KIAA2013	KIAA2013	Homo sapiens (Human)	634
Q13415	Q13415	ORC1_HUMAN	reviewed	Origin recognition complex subunit 1 (Replication control protein 1)	ORC1 ORC1L PARC1	Homo sapiens (Human)	861
P04181	P04181	OAT_HUMAN	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]	OAT	Homo sapiens (Human)	439
Q9HCM4	Q9HCM4	E41L5_HUMAN	reviewed	Band 4.1-like protein 5 (Erythrocyte membrane protein band 4.1-like 5)	EPB41L5 KIAA1548	Homo sapiens (Human)	733
B7ZKQ9	B7ZKQ9	B7ZKQ9_HUMAN	unreviewed	SCARB1 protein (Scavenger receptor class B member 1)	SCARB1	Homo sapiens (Human)	481
Q6MZM3	Q6MZM3	Q6MZM3_HUMAN	unreviewed	Uncharacterized protein DKFZp686C21148	DKFZp686C21148	Homo sapiens (Human)	1231
D0PNI1	D0PNI1	D0PNI1_HUMAN	unreviewed	Epididymis luminal protein 4 (Epididymis secretory protein Li 3) (Epididymis secretory protein Li 93) (Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta polypeptide) (Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide, isoform CRA_a)	YWHAZ HEL-S-3 HEL-S-93 HEL4 hCG_2009146	Homo sapiens (Human)	245
